date,donations,is_holiday,holiday_name,is_outlier,is_mco
2006-08-28,345,0,Non-Holiday,0,0
2006-08-29,797,0,Non-Holiday,0,0
2006-08-30,509,0,Non-Holiday,0,0
2006-08-31,775,1,national_day,0,0
2006-09-01,134,0,Non-Holiday,0,0
2006-09-02,1006,0,Non-Holiday,0,0
2006-09-03,2266,0,Non-Holiday,0,0
2006-09-04,308,0,Non-Holiday,0,0
2006-09-05,1054,0,Non-Holiday,0,0
2006-09-06,903,0,Non-Holiday,0,0
2006-09-07,842,0,Non-Holiday,0,0
2006-09-08,576,0,Non-Holiday,0,0
2006-09-09,370,0,Non-Holiday,0,0
2006-09-10,892,0,Non-Holiday,0,0
2006-09-11,660,0,Non-Holiday,0,0
2006-09-12,955,0,Non-Holiday,0,0
2006-09-13,853,0,Non-Holiday,0,0
2006-09-14,1084,0,Non-Holiday,0,0
2006-09-15,720,0,Non-Holiday,0,0
2006-09-16,704,1,malaysia_day,0,0
2006-09-17,753,0,Non-Holiday,0,0
2006-09-18,561,0,Non-Holiday,0,0
2006-09-19,858,0,Non-Holiday,0,0
2006-09-20,1289,0,Non-Holiday,0,0
2006-09-21,1586,0,Non-Holiday,0,0
2006-09-22,1087,0,Non-Holiday,0,0
2006-09-23,368,0,Non-Holiday,0,0
2006-09-24,256,0,Non-Holiday,0,0
2006-09-25,64,0,Non-Holiday,0,0
2006-09-26,65,0,Non-Holiday,0,0
2006-09-27,175,0,Non-Holiday,0,0
2006-09-28,328,0,Non-Holiday,0,0
2006-09-29,637,0,Non-Holiday,0,0
2006-09-30,124,0,Non-Holiday,0,0
2006-10-01,725,0,Non-Holiday,0,0
2006-10-02,270,0,Non-Holiday,0,0
2006-10-03,191,0,Non-Holiday,0,0
2006-10-04,284,0,Non-Holiday,0,0
2006-10-05,370,0,Non-Holiday,0,0
2006-10-06,535,0,Non-Holiday,0,0
2006-10-07,57,0,Non-Holiday,0,0
2006-10-08,713,0,Non-Holiday,0,0
2006-10-09,270,0,Non-Holiday,0,0
2006-10-10,180,0,Non-Holiday,0,0
2006-10-11,287,0,Non-Holiday,0,0
2006-10-12,413,0,Non-Holiday,0,0
2006-10-13,610,0,Non-Holiday,0,0
2006-10-14,337,0,Non-Holiday,0,0
2006-10-15,1285,0,Non-Holiday,0,0
2006-10-16,694,0,Non-Holiday,0,0
2006-10-17,438,0,Non-Holiday,0,0
2006-10-18,288,0,Non-Holiday,0,0
2006-10-19,715,0,Non-Holiday,0,0
2006-10-20,378,0,Non-Holiday,0,0
2006-10-21,42,1,deepavali,0,0
2006-10-22,219,0,Non-Holiday,0,0
2006-10-23,72,0,Non-Holiday,0,0
2006-10-24,18,1,hari_raya_aidilfitri,0,0
2006-10-25,47,0,Non-Holiday,0,0
2006-10-26,169,0,Non-Holiday,0,0
2006-10-27,261,0,Non-Holiday,0,0
2006-10-28,307,0,Non-Holiday,0,0
2006-10-29,792,0,Non-Holiday,0,0
2006-10-30,348,0,Non-Holiday,0,0
2006-10-31,333,0,Non-Holiday,0,0
2006-11-01,546,0,Non-Holiday,0,0
2006-11-02,498,0,Non-Holiday,0,0
2006-11-03,791,0,Non-Holiday,0,0
2006-11-04,292,0,Non-Holiday,0,0
2006-11-05,672,0,Non-Holiday,0,0
2006-11-06,437,0,Non-Holiday,0,0
2006-11-07,749,0,Non-Holiday,0,0
2006-11-08,692,0,Non-Holiday,0,0
2006-11-09,962,0,Non-Holiday,0,0
2006-11-10,559,0,Non-Holiday,0,0
2006-11-11,274,0,Non-Holiday,0,0
2006-11-12,889,0,Non-Holiday,0,0
2006-11-13,386,0,Non-Holiday,0,0
2006-11-14,824,0,Non-Holiday,0,0
2006-11-15,479,0,Non-Holiday,0,0
2006-11-16,839,0,Non-Holiday,0,0
2006-11-17,618,0,Non-Holiday,0,0
2006-11-18,247,0,Non-Holiday,0,0
2006-11-19,645,0,Non-Holiday,0,0
2006-11-20,847,0,Non-Holiday,0,0
2006-11-21,921,0,Non-Holiday,0,0
2006-11-22,1414,0,Non-Holiday,0,0
2006-11-23,1754,0,Non-Holiday,0,0
2006-11-24,1079,0,Non-Holiday,0,0
2006-11-25,357,0,Non-Holiday,0,0
2006-11-26,719,0,Non-Holiday,0,0
2006-11-27,437,0,Non-Holiday,0,0
2006-11-28,514,0,Non-Holiday,0,0
2006-11-29,376,0,Non-Holiday,0,0
2006-11-30,877,0,Non-Holiday,0,0
2006-12-01,597,0,Non-Holiday,0,0
2006-12-02,464,0,Non-Holiday,0,0
2006-12-03,1267,0,Non-Holiday,0,0
2006-12-04,225,0,Non-Holiday,0,0
2006-12-05,455,0,Non-Holiday,0,0
2006-12-06,491,0,Non-Holiday,0,0
2006-12-07,458,0,Non-Holiday,0,0
2006-12-08,374,0,Non-Holiday,0,0
2006-12-09,379,0,Non-Holiday,0,0
2006-12-10,667,0,Non-Holiday,0,0
2006-12-11,360,0,Non-Holiday,0,0
2006-12-12,668,0,Non-Holiday,0,0
2006-12-13,728,0,Non-Holiday,0,0
2006-12-14,805,0,Non-Holiday,0,0
2006-12-15,332,0,Non-Holiday,0,0
2006-12-16,337,0,Non-Holiday,0,0
2006-12-17,778,0,Non-Holiday,0,0
2006-12-18,200,0,Non-Holiday,0,0
2006-12-19,579,0,Non-Holiday,0,0
2006-12-20,888,0,Non-Holiday,0,0
2006-12-21,972,0,Non-Holiday,0,0
2006-12-22,457,0,Non-Holiday,0,0
2006-12-23,410,0,Non-Holiday,0,0
2006-12-24,443,0,Non-Holiday,0,0
2006-12-25,91,1,christmas,0,0
2006-12-26,375,0,Non-Holiday,0,0
2006-12-27,553,0,Non-Holiday,0,0
2006-12-28,549,0,Non-Holiday,0,0
2006-12-29,1114,0,Non-Holiday,0,0
2006-12-30,345,0,Non-Holiday,0,0
2006-12-31,83,1,hari_raya_aidiladha,0,0
2007-01-01,192,1,new_year,0,0
2007-01-02,545,0,Non-Holiday,0,0
2007-01-03,398,0,Non-Holiday,0,0
2007-01-04,789,0,Non-Holiday,0,0
2007-01-05,239,0,Non-Holiday,0,0
2007-01-06,540,0,Non-Holiday,0,0
2007-01-07,888,0,Non-Holiday,0,0
